Solute SMILES,Solvent SMILES,LogS,Concentration,Class,Solute InChIKey,Solvent InChIKey,Source
Cc1c3c(c(c2c1cccc2)C)cccc3,O,-6.570000775,2.69153E-07,0,JTGMTYWYUZDRBK-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,ONSC
S(=O)(=O)(NC(=O)OC)c1ccc(cc1)N,O,-1.66,0.021877616,1,VGPYEHKOIGNJKV-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,ONSC
O=C(CO)[C@@]3(O)CC[C@H]2[C@@H]4CC\C1=C\C(=O)CC[C@]1(C)[C@H]4C(=O)C[C@@]23C,O(CCOCCOCCO)CCOCCOCCOCCOCCOCCO,-1.66,0.021877616,1,MFYSYFVPBJMHGN-ZPOLXVRWSA-N,YZUUTMGDONTGTN-UHFFFAOYSA-N,ONSC
O=C(Nc1ccccc1)N(C)C,CO,-1.659811887,0.021887095,1,XXOYNJXVWVNOOJ-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N,ONSC
O(C(CCO[N+](=O)[O-])C)[N+](=O)[O-],O,-1.659,0.021928049,1,DGFBULNMARLFTH-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,ONSC
O=C(c1cc(ccc1N)[N+]([O-])=O)c2ccccc2,CCO,-1.658286972,0.021964081,1,PZPZDEIASIKHPY-UHFFFAOYSA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,ONSC
c1(ccc(cc1)OCC)N(C(=O)N)C,O,-1.658,0.021978599,1,RXJIGRPQCMIWMF-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,ONSC
c1(ccccc1)C(C(=O)NC(c2ccccc2)C)N,O,-1.658,0.021978599,1,KOTUCVMGXNNUJL-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,ONSC
O=C(Nc1ccc(OCC)cc1)C,c1ccccc1,-1.657577319,0.022,1,CPJSUEIXXCENMM-UHFFFAOYSA-N,UHOVQNZJYSORNB-UHFFFAOYSA-N,ONSC
O1c3c(OCCOCCOc2ccccc2OCCOCC1)cccc3,C1CCOC1,-1.657577319,0.022,1,YSSSPARMOAYJTE-UHFFFAOYSA-N,WYURNTSHIVDZCO-UHFFFAOYSA-N,ONSC
C1(C(C(C(CO1)O)O)O)Oc2ccccc2,O,-1.656,0.022080047,1,RTBHKOWSOJOEPS-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,ONSC
c1(c(c2c(cc1)cccc2)N)S(=O)(=O)O,O,-1.656,0.022080047,1,ONZWNZGVZFLMNZ-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,ONSC
