Solute InChIKey,Solute SMILES,Solvent InChIKey,Solvent SMILES,LogS,Concentration,MW,Volume,Source
JTGMTYWYUZDRBK-UHFFFAOYSA-N,Cc1c3c(c(c2c1cccc2)C)cccc3,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-6.570000775,2.69153E-07,206.28,198.36,ONSC
MFYSYFVPBJMHGN-ZPOLXVRWSA-N,O=C(CO)[C@@]3(O)CC[C@H]2[C@@H]4CC\C1=C\C(=O)CC[C@]1(C)[C@H]4C(=O)C[C@@]23C,YZUUTMGDONTGTN-UHFFFAOYSA-N,O(CCOCCOCCO)CCOCCOCCOCCOCCOCCO,-1.66,0.021877616,360.4,329.44,ONSC
XXOYNJXVWVNOOJ-UHFFFAOYSA-N,O=C(Nc1ccccc1)N(C)C,OKKJLVBELUTLKV-UHFFFAOYSA-N,CO,-1.659811887,0.021887095,164.2,160.232,ONSC
DGFBULNMARLFTH-UHFFFAOYSA-N,O(C(CCO[N+](=O)[O-])C)[N+](=O)[O-],XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.659,0.021928049,180.12,148.528,ONSC
PZPZDEIASIKHPY-UHFFFAOYSA-N,O=C(c1cc(ccc1N)[N+]([O-])=O)c2ccccc2,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,CCO,-1.658286972,0.021964081,242.23,209.16,ONSC
RXJIGRPQCMIWMF-UHFFFAOYSA-N,c1(ccc(cc1)OCC)N(C(=O)N)C,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.658,0.021978599,194.23,186.304,ONSC
KOTUCVMGXNNUJL-UHFFFAOYSA-N,c1(ccccc1)C(C(=O)NC(c2ccccc2)C)N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.658,0.021978599,254.33,246.728,ONSC
CPJSUEIXXCENMM-UHFFFAOYSA-N,O=C(Nc1ccc(OCC)cc1)C,UHOVQNZJYSORNB-UHFFFAOYSA-N,c1ccccc1,-1.657577319,0.022,179.22,173.56,ONSC
YSSSPARMOAYJTE-UHFFFAOYSA-N,O1c3c(OCCOCCOc2ccccc2OCCOCC1)cccc3,WYURNTSHIVDZCO-UHFFFAOYSA-N,C1CCOC1,-1.657577319,0.022,360.4,330,ONSC
RTBHKOWSOJOEPS-UHFFFAOYSA-N,C1(C(C(C(CO1)O)O)O)Oc2ccccc2,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.656,0.022080047,226.23,197.608,ONSC
WQLVFSAGQJTQCK-UHFFFAOYSA-N,OC2C/C1=C/CC5C(C1(C)CC2)CCC6(C4C(OC3(OCC(CC3)C)C4C)CC56)C,XEKOWRVHYACXOJ-UHFFFAOYSA-N,O=C(OCC)C,-1.655511037,0.022104921,414.6,409.592,ONSC
RXKNNAKAVAHBNK-UHFFFAOYSA-N,c1c[n+](ccc1[N+](=O)[O-])[O-],WVYWICLMDOOCFB-UHFFFAOYSA-N,OC(C)CC(C)C,-1.653647026,0.0222,140.1,113.672,ONSC
RXKNNAKAVAHBNK-UHFFFAOYSA-N,c1c[n+](ccc1[N+](=O)[O-])[O-],BBMCTIGTTCKYKF-UHFFFAOYSA-N,OCCCCCCC,-1.653647026,0.0222,140.1,113.576,ONSC
WURBVZBTWMNKQT-UHFFFAOYSA-N,Clc2ccc(OC(C(=O)C(C)(C)C)n1ncnc1)cc2,IMNFDUFMRHMDMM-UHFFFAOYSA-N,CCCCCCC,-1.653352884,0.022215041,293.75,257.68,ONSC
WTJMJAZVXNFVHB-UHFFFAOYSA-N,CC(C)CC(C(=O)OC)NC(=O)COC(=O)CC1=CC=CC=CC1NC2=C(C=CC=CC2Cl)Cl,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.653255945,0.02222,509.4,450.296,ONSC
GVIJJXMXTUZIOD-UHFFFAOYSA-N,S1c3c(Sc2c1cccc2)cccc3,PHTQWCKDNZKARW-UHFFFAOYSA-N,OCCC(C)C,-1.652202369,0.02227397,216.3,179.496,ONSC
