Solute InChIKey,Solute SMILES,Solvent InChIKey,Solvent SMILES,LogS,Concentration,MW,Volume,MP,Source
MFYSYFVPBJMHGN-ZPOLXVRWSA-N,O=C(CO)[C@@]3(O)CC[C@H]2[C@@H]4CC\C1=C\C(=O)CC[C@]1(C)[C@H]4C(=O)C[C@@]23C,YZUUTMGDONTGTN-UHFFFAOYSA-N,O(CCOCCOCCO)CCOCCOCCOCCOCCOCCO,-1.66,0.021877616,360.4,329.44,52,ONSC
DGFBULNMARLFTH-UHFFFAOYSA-N,O(C(CCO[N+](=O)[O-])C)[N+](=O)[O-],XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.659,0.021928049,180.12,148.528,190,ONSC
CPJSUEIXXCENMM-UHFFFAOYSA-N,O=C(Nc1ccc(OCC)cc1)C,UHOVQNZJYSORNB-UHFFFAOYSA-N,c1ccccc1,-1.657577319,0.022,179.22,173.56,129,ONSC
GVIJJXMXTUZIOD-UHFFFAOYSA-N,S1c3c(Sc2c1cccc2)cccc3,PHTQWCKDNZKARW-UHFFFAOYSA-N,OCCC(C)C,-1.652202369,0.02227397,216.3,179.496,103.5,ONSC
BGRJTUBHPOOWDU-UHFFFAOYSA-N,O=S(=O)(N)c1cc(c(OC)cc1)C(=O)NCC2N(CC)CCC2,DHXVGJBLRPWPCS-UHFFFAOYSA-N,O1CCCCC1,-1.649409861,0.022417653,341.4,305.28,224,ONSC
SKZKKFZAGNVIMN-UHFFFAOYSA-N,O=C(c1ccccc1O)N,PYLWMHQQBFSUBP-UHFFFAOYSA-N,Fc1ccccc1,-1.649199821,0.022428497,137.14,122.696,247.5,ONSC
QSNSCYSYFYORTR-UHFFFAOYSA-N,Clc1ccc(cc1)N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.66,0.021877616,127.57,110.68,-52,ONSC
MFYSYFVPBJMHGN-ZPOLXVRWSA-N,O=C(CO)[C@@]3(O)CC[C@H]2[C@@H]4CC\C1=C\C(=O)CC[C@]1(C)[C@H]4C(=O)C[C@@]23C,WEVYAHXRMPXWCK-UHFFFAOYSA-N,N#CC,-1.679853714,0.0209,360.4,330.64,52,ONSC
QPPBRPIAZZHUNT-UHFFFAOYSA-N,O=S(=O)(Nc1nc(ccn1)C)c2ccc(N)cc2,WEVYAHXRMPXWCK-UHFFFAOYSA-N,N#CC,-1.645315446,0.02263,264.31,223.152,300,ONSC
GVIJJXMXTUZIOD-UHFFFAOYSA-N,S1c3c(Sc2c1cccc2)cccc3,BDERNNFJNOPAEC-UHFFFAOYSA-N,CCCO,-1.669788782,0.021390021,216.3,179.768,103.5,ONSC
GVIJJXMXTUZIOD-UHFFFAOYSA-N,S1c3c(Sc2c1cccc2)cccc3,MSXVEPNJUHWQHW-UHFFFAOYSA-N,OC(C)(C)CC,-1.665654377,0.021594623,216.3,179.76,103.5,ONSC
VOXZDWNPVJITMN-SFFUCWETSA-N,Oc1cc3c(cc1)[C@H]2CC[C@@]4([C@H](O)CC[C@H]4[C@@H]2CC3)C,HVQYDIHGXSIMTE-UHFFFAOYSA-N,O(CCOCCOCCO)CCOCCOCCOCCOCCOCCO.O,-1.629,0.023496328,272.4,263.48,176.5,ONSC
POLCUAVZOMRGSN-UHFFFAOYSA-N,O(CCC)CCC,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.62,0.023988329,102.17,120.504,11,ONSC
SKZKKFZAGNVIMN-UHFFFAOYSA-N,O=C(c1ccccc1O)N,DURPTKYDGMDSBL-UHFFFAOYSA-N,O(CCCC)CCCC,-1.619788758,0.024,137.14,122.496,247.5,ONSC
FYJJXENSONZJRG-UHFFFAOYSA-N,C2(Cc1ccccc1)(OCCCN(C)C)CCCCCC2,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.619,0.024043628,289.5,306.288,100,ONSC
MWPLVEDNUUSJAV-UHFFFAOYSA-N,c1ccc2cc3ccccc3cc2c1,RUOJZAUFBMNUDX-UHFFFAOYSA-N,CC1COC(=O)O1,-1.61865269,0.024062864,178.23,168.896,32.5,ONSC
YRHRIQCWCFGUEQ-UHFFFAOYSA-N,O=C1c3c(Sc2c1cccc2)cccc3,CNDHHGUSRIZDSL-UHFFFAOYSA-N,ClCCCCCCCC,-1.617156117,0.024145927,212.27,177.824,118,ONSC
UJOBWOGCFQCDNV-UHFFFAOYSA-N,c1ccc2c(c1)c3ccccc3[nH]2,UNFUYWDGSFDHCW-UHFFFAOYSA-N,ClC1CCCCC1,-1.617126266,0.024147587,167.21,154.448,182,ONSC
GVIJJXMXTUZIOD-UHFFFAOYSA-N,S1c3c(Sc2c1cccc2)cccc3,IMNFDUFMRHMDMM-UHFFFAOYSA-N,CCCCCCC,-1.619698339,0.024004997,216.3,179.272,103.5,ONSC
SATCULPHIDQDRE-UHFFFAOYSA-N,O1COc2c1cc(cc2)C=O,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.63,0.023442288,150.13,127.52,153.5,ONSC
GVIJJXMXTUZIOD-UHFFFAOYSA-N,S1c3c(Sc2c1cccc2)cccc3,PFNHSEQQEPMLNI-UHFFFAOYSA-N,OCC(C)CCC,-1.641230635,0.022843853,216.3,180.128,103.5,ONSC
CVHZOJJKTDOEJC-UHFFFAOYSA-N,S1(=O)(=O)NC(=O)c2c1cccc2,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.64,0.022908677,183.19,139.888,240,ONSC
